code,name,parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
DEUTW,West Germany,b,1983,2.4254626959087164,1.903231091461685,2.4210381510286307,3.1626025285889177,0,Float64,0.14137009691107066,2.714282790476534,2.161821580588761,2.5689176651944075,2.277748911841925,2.5172456961572163,2.3291998961629607,0.001456197424659863,1721.7575624959356,1.0004090237429337,0.2500596644017157
DEUTW,West Germany,b,1988,2.4527405875352675,1.9143214023031543,2.449050636143849,3.0473952661374435,0,Float64,0.14312559597362104,2.744262987679164,2.1898162324556667,2.6014011624092404,2.3034059253393133,2.547719684272799,2.353072004152706,0.0014333387099518462,1736.5744816525091,1.000389850043338,0.2522116014179754
DEUTW,West Germany,b,1993,2.483898834566337,1.9149255119909365,2.480015868182217,3.0860787582763005,0,Float64,0.1473545394056501,2.786954421664426,2.2131920806235517,2.633498512530048,2.3327779857936393,2.578367107422048,2.3813083219957347,0.0014885836523445748,1728.3125750353474,1.0009150493872665,0.2510116824276322
DEUTW,West Germany,b,1998,2.5112062151879244,1.9416588183894332,2.5050115707380662,3.227796540012382,0,Float64,0.15448535343043748,2.8322892921172538,2.227075192605093,2.6713026781900964,2.3509031113403136,2.6114822044337633,2.404614342810425,0.0014964394621876924,1765.573904452329,1.000993668919923,0.25642333603794953
DEUTW,West Germany,b,2003,2.526024197974336,2.01494156220401,2.518159315237612,3.2476069406693555,0,Float64,0.1588460226594233,2.85976347255091,2.235086847839267,2.692464838877503,2.362264625391493,2.6269924242556573,2.415233460020594,0.00146604605174194,1771.5040229897952,1.0003388042752874,0.25728459750915894
DEUTW,West Germany,b,2008,2.5489550793617015,2.0396181207249247,2.5395066100600596,3.3171915768120868,0,Float64,0.16688091456414125,2.898412234547971,2.2464260922357755,2.720633810353937,2.374176300025614,2.6563129452476497,2.435003556090756,0.0015417737533889029,1772.8071841393416,1.0002739786735797,0.25747386227373154
DEUTW,West Germany,b,2013,2.5728773076464777,2.073005476040696,2.562550797853103,3.3491981890898885,0,Float64,0.17571484584966993,2.937047033272528,2.25590359021964,2.757203595290958,2.39024792335394,2.6892929492737965,2.451181758787576,0.0015402111747115645,1887.9356064799583,1.0002931820800058,0.2741945523875359
DEUTW,West Germany,b,2018,2.575665672425921,1.934666993168824,2.567103359717117,3.3466850692988874,0,Float64,0.18546550930051808,2.9651306363986625,2.2396882289180966,2.7666307249807773,2.3828280235321446,2.693744847163554,2.4455602445072975,0.0015137948088292195,2074.472509437777,1.0002384120724939,0.3012862616782146
DEUTW,West Germany,C,1958,105.42258986600861,103.85451856075879,105.42544718935596,107.18154981951089,0,Float64,0.43590194474483923,106.26773586249922,104.58312459399141,105.88520470019077,104.96634103218248,105.71575005317973,105.12569301719354,4.3591071135744264e-5,8200.532826613007,1.0004031353695864,1.1910053605720357
DEUTW,West Germany,C,1963,105.79885112736592,104.35710585874087,105.79744565267434,107.41125947864026,0,Float64,0.39265375671507785,106.56897058998898,105.02924904755619,106.20987365853998,105.39180320907803,106.0630179230341,105.53476650049211,3.918462780263667e-5,9209.355451667616,0.9999756350676844,1.3375218345268924
