"name","code","year","forecast","B","b","C","c","d","σ","α_B","α_b","α_C","α_c","α_d","α_σ","LE","H","h","Lstar_99p9","Lstar_99","Lstar_95","Lstar_90","Lmed"
"Switzerland","CHE",1933,0,2.70746830826502,1.36028821111922,76.9729144409914,0.085700233333517,0.00141461650227633,0.0446550057822501,0.0196545933012938,0.0308666072299057,0.0108307711473909,0.0231953912198077,-0.117893491680394,0.00563771955558211,65.1668085868758,0.232617819848055,1.45835843028443,99.2462700402291,94.3904022604771,89.1759369440167,85.9419456746504,70.4009815752158
"Switzerland","CHE",1938,0,2.7527928121515,1.3924691451011,77.9443121278653,0.0880492240775418,0.00118231579877391,0.0442795070996788,0.01673847542656,0.0311974994704145,0.011543391656066,0.0245283380583521,-0.127331131197779,0.00522875952323835,66.9696191191343,0.216132655508076,1.53186291394365,99.6617679187567,94.9544599300158,89.9129935663617,86.7904899410064,71.8959159979159
"Switzerland","CHE",1943,0,2.79338379319892,1.42947188271429,78.9738106713227,0.0903945154628451,0.00100724177787759,0.0440588769425347,0.0145744436377652,0.0328286937055801,0.0119309473099089,0.0251172939070283,-0.135219936564431,0.00559012538349264,68.7006088274204,0.201785533995936,1.60054985849289,100.161780162673,95.5903131111647,90.7019390994205,87.6788348941948,73.3513923224191
"Switzerland","CHE",1948,0,2.83162329707183,1.47204081465878,79.9083246081155,0.0927606234886792,0.00067448138785511,0.0439751730160929,0.0121485097638218,0.035626250034958,0.0118961717451784,0.0258816444573481,-0.144537545296861,0.00699166598764643,70.7703977058101,0.182982499057321,1.69836476428517,100.617722656924,96.1854387497768,91.4581271580724,88.5470196609923,74.8850919152907
"Switzerland","CHE",1953,0,2.86398093533493,1.52843030095431,81.0351238464215,0.0960467641027284,0.000375782643160087,0.0442865715657313,0.00906142342656709,0.0401056595056019,0.0119581571282819,0.0269873799062572,-0.148286929978944,0.00849041578153215,73.0592741160034,0.163313225839235,1.81208529123133,101.081074334291,96.8242565517601,92.2914585792295,89.5074182099541,76.5847667743032
"Switzerland","CHE",1958,0,2.88338119374531,1.60150096316253,82.0232687478249,0.0991120748631772,0.000297011630225029,0.0446176782895491,0.005080280958578,0.044663892732397,0.0112955162912761,0.0249521922109207,-0.140715338715596,0.0101655818167839,74.6080054410574,0.152009797809351,1.88381030094137,101.462281450758,97.34457739269,92.9682152679756,90.277932253292,77.8355403507707
"Switzerland","CHE",1963,0,2.88691568812035,1.68868451598187,82.7957737665777,0.101322826379853,0.0002798166123849,0.0452898707979624,0.000783347486997219,0.049222629617778,0.0103958419432739,0.0204687110993978,-0.131489720032174,0.0115906241005956,75.688587764477,0.145054245577896,1.93064749909103,101.819806838414,97.793818557103,93.511849794819,90.8833668400886,78.7505312121266
"Switzerland","CHE",1968,0,2.87620956267567,1.78754119980614,83.5987515147871,0.102930058098438,0.000286266284967578,0.0458031750907549,-0.00382134288627316,0.052655688104305,0.0100287031800494,0.0158898630764464,-0.124635387435104,0.0131188103862343,76.6692137129932,0.140253287666885,1.96430529341624,102.323686086328,98.3621696705686,94.1502540086232,91.5668188671848,79.6278612354896
"Switzerland","CHE",1973,0,2.85674531430316,1.90393773502691,84.4790794288285,0.103814332802188,0.000284849185166854,0.0462952961434531,-0.00837678039714123,0.0556058030520572,0.00974244520467522,0.010996982751059,-0.122039950177887,0.0149001760399968,77.6897890069468,0.136381300390191,1.9923006368894,103.049623971562,99.123589268071,94.9507628237536,92.3881352249608,80.5644310972142
"Switzerland","CHE",1978,0,2.81681337274145,2.02385253457676,85.3404381426577,0.103965701303089,0.000239423111231882,0.0474060828047219,-0.0136418010874187,0.0564512257975997,0.00912580676208323,0.00701970250199132,-0.123751666662789,0.0172767438023017,78.7611738285518,0.132371385116052,2.02214378334167,103.89309886019,99.9763392119296,95.8131906484284,93.2558361083411,81.4906898807095
"Switzerland","CHE",1983,0,2.75639827979217,2.14301325503433,86.0235295090311,0.103905216987534,0.000217353055421839,0.0493321497466183,-0.0188910775697042,0.0564180909716546,0.00820975742070027,0.00497838037819212,-0.12359756619736,0.0192561419515236,79.5502853689788,0.130093682724255,2.03950045172962,104.589062172359,100.672824862867,96.5115802354889,93.9549999349044,82.2084511609152
"Switzerland","CHE",1988,0,2.68141741939976,2.26806542235542,86.6233455240979,0.103779830251814,0.000191864324314142,0.0518386485921712,-0.0232551204699634,0.0563386074746145,0.00746342406957902,0.00472811134656592,-0.125868902026757,0.0200438079397173,80.2465484911319,0.12804869338034,2.05534467036913,105.20905389639,101.289775934079,97.1262725712558,94.5737380249235,82.8361769980717
"Switzerland","CHE",1993,0,2.6028186854754,2.40028732278343,87.0486595407968,0.103849405900321,0.000172727963519977,0.053666094735224,-0.0267401259255122,0.056707663980981,0.00681245589415736,0.00701383682395058,-0.126193806007932,0.0186209875214893,80.7573475981504,0.126341496778905,2.06876674635292,105.630477719532,101.716010711514,97.5530249792706,95.0038896586767,83.2874718230569
"Switzerland","CHE",1998,0,2.5240677513496,2.55444260373202,87.6010866006248,0.105329482785134,0.000133945351732809,0.0547647205612129,-0.0293849175335244,0.0573020647437769,0.00685481107547995,0.0114828778506587,-0.129038969646632,0.0160608280827245,81.5392870306185,0.122057925689681,2.10325954619611,105.929932772039,102.069225591865,97.9720084192199,95.4604283444845,83.9428880648683
"Switzerland","CHE",2003,0,2.43676652717247,2.70253225693759,88.2713211127362,0.10713248908105,0.000110453265664487,0.0557724904848193,-0.0318640684688555,0.0565467446827149,0.00704171903880538,0.0148699542471682,-0.129813863901158,0.0136739301145078,82.3905058388827,0.118068728930034,2.13648837551485,106.288696317957,102.495934603666,98.4728340253484,96.0060042382837,84.7049735456829
