"code","name","years","year","age","mx","mx_f","mx_m","lx","lx_f","lx_m","ex","ex_f","ex_m","Total","Male","Female","best_practice","best_practice_alt"
"BGR","Bulgaria","(1945,1950]",1948,94,0.2479175,0.244875,0.2514,0.0204525,0.0244575,0.0167875,3.5575,3.5975,3.5225,593.0925,285.665,307.4275,0,1
"BGR","Bulgaria","(1945,1950]",1948,95,0.259785,0.2568375,0.263165,0.0160175,0.0192175,0.0130975,3.4225,3.455,3.3875,499.4825,237.5925,261.89,0,1
"BGR","Bulgaria","(1945,1950]",1948,96,0.2720175,0.2691725,0.2752775,0.0124,0.0149275,0.0101,3.29,3.3225,3.2575,456.6,213.1425,243.4575,0,1
"BGR","Bulgaria","(1945,1950]",1948,97,0.2846125,0.28188,0.2877325,0.0094825,0.011455,0.0076975,3.165,3.1975,3.14,351.4375,165.3075,186.13,0,1
"BGR","Bulgaria","(1945,1950]",1948,98,0.2975525,0.29494,0.300515,0.007165,0.0086825,0.005795,3.0475,3.075,3.025,261.71,121.1225,140.5875,0,1
"BGR","Bulgaria","(1945,1950]",1948,99,0.3108325,0.308345,0.3136175,0.005345,0.0064975,0.004305,2.9375,2.96,2.915,196.29,92.5675,103.7225,0,1
"BGR","Bulgaria","(1945,1950]",1948,100,0.32443,0.32208,0.32703,0.0039325,0.0047975,0.0031575,2.83,2.8525,2.81,127.8225,58.3525,69.47,0,1
"BGR","Bulgaria","(1945,1950]",1948,101,0.3383375,0.3361275,0.340725,0.002855,0.0034975,0.0022875,2.7275,2.7475,2.715,102.57,47.595,54.975,0,1
"BGR","Bulgaria","(1945,1950]",1948,102,0.352535,0.3504625,0.354695,0.002045,0.0025125,0.0016325,2.635,2.65,2.62,77.5325,36.55,40.9825,0,1
"BGR","Bulgaria","(1945,1950]",1948,103,0.367,0.36507,0.3689125,0.00144,0.0017825,0.00115,2.5425,2.5625,2.5325,56.6575,26.78,29.8775,0,1
"BGR","Bulgaria","(1945,1950]",1948,104,0.3817125,0.37993,0.383365,0.0010025,0.001245,0.0007975,2.455,2.475,2.4525,40.9725,19.4525,21.52,0,1
"BGR","Bulgaria","(1945,1950]",1948,105,0.3966475,0.3950125,0.3980275,0.0006875,0.000855,0.0005475,2.3825,2.3975,2.3725,29.51,14.08,15.43,0,1
