"code","year","name","b","B","c","C","d","σ","ex","Hx","LE_mod","H_mod","LE_b","LE_B","LE_c","LE_C","LE_d","H_b","H_B","H_c","H_C","H_d","Delta_b","Delta_B","Delta_c","Delta_C","Delta_d","Delta_σ","Delta_ex","Delta_Hx","Delta_LE_mod","Delta_H_mod"
"NLD",1908,"Netherlands",0.991810994051568,2.37860833658936,0.0819774076765214,106.512178114116,0.0022877653285582,0.0329686796879081,53.824,0.40628394955066,58.5095556679905,0.332237984734011,12.8275077796608,5.38301327244393,371.759405129354,0.767278757305959,-2033.42593459146,-0.217048567836946,-0.0912364354819891,-2.912363526102,-0.00126973553342977,28.056795871368,0.0406762293870154,0.0567564615243024,0.000641631783973667,-0.316522780145959,-0.000539369847430217,0.000481272507313446,3.042,-0.0554280173294004,2.25117977310134,-0.0357304636853266
"NLD",1913,"Netherlands",1.01990421860277,2.43846709569864,0.0834714960611831,106.422460642271,0.00199823305677809,0.0336735160375367,56.42,0.368684078176491,60.5245311364622,0.306935521698453,11.662494537132,4.90595875449016,366.1273047072,0.793606797210555,-2131.58059581918,-0.19099556692199,-0.0804582744900955,-2.7811370640126,-0.00132517557324352,28.7106764613765,0.0280932245511984,0.0598587591092867,0.00149408838466177,-0.0897174718450344,-0.000289532271780109,0.00070483634962859,2.596,-0.0375998713741689,2.01497546847173,-0.0253024630355578
"NLD",1918,"Netherlands",1.00873110182687,2.48244703634878,0.0838863054686454,105.980596006183,0.00317880075666894,0.0358001694281902,54.44,0.392594926485417,57.9608211597416,0.339159257719643,11.2828290462504,4.61240623353613,336.615562940895,0.731860202711913,-2001.08031957826,-0.192658831409562,-0.0788911453085975,-2.51198227754361,-0.000839234536896006,27.6352342148538,-0.0111731167758933,0.0439799406501384,0.000414809407462247,-0.441864636087871,0.00118056769989086,0.00212665339065349,-1.98,0.0239108483089253,-2.56370997672061,0.0322237360211897
"NLD",1923,"Netherlands",1.0965973733539,2.63289115019372,0.0857170964344423,106.257415187509,0.00153590181024852,0.0363973100085441,61.498,0.292285668932798,64.3139798974333,0.258165921494781,8.37086121930653,3.50170266165102,363.190102435722,0.845448367002664,-2309.51829443997,-0.129279404315786,-0.054132456746948,-2.62195734325678,-0.00143642354554304,29.711077643618,0.0878662715270295,0.150444113844939,0.00183079096579696,0.276819181326559,-0.00164289894642042,0.000597140580353824,7.058,-0.100309257552618,6.35315873769168,-0.0809933362248621
"NLD",1928,"Netherlands",1.1194258333848,2.72640930849124,0.0871754496694547,105.950898938741,0.00139889667329799,0.0370796023437395,63.222,0.266268403612275,65.5837023110795,0.242516985362302,7.35120606319979,3.03032156040807,354.313202909238,0.861330835578184,-2371.6553852422,-0.111400222437382,-0.0459602427478765,-2.5090826308135,-0.00144766544233298,30.0982113522931,0.0228284600308968,0.0935181582975151,0.00145835323501237,-0.306516248768261,-0.000137005136950535,0.00068229233519549,1.724,-0.0260172653205235,1.26972241364622,-0.0156489361324792
"NLD",1933,"Netherlands",1.18592591219618,2.83686394632159,0.088488980838537,105.941111370937,0.00106857316029413,0.0381038531649776,65.77,0.23298730014635,67.8220740671575,0.216579642681399,5.47488435543332,2.29624825212354,353.162330117832,0.893637315692822,-2483.47716170552,-0.0803086278800635,-0.0337043320204741,-2.44389478270881,-0.0015418452998663,30.7530401308399,0.0665000788113812,0.110454637830348,0.00131353116908228,-0.00978756780358481,-0.000330323513003856,0.00102425082123801,2.54799999999999,-0.0332811034659246,2.23837175607801,-0.0259373426809028
"NLD",1938,"Netherlands",1.22223597102808,2.90981777192995,0.0895371925755631,105.530523130762,0.000944819079056509,0.0402957504930068,66.842,0.217198026072881,68.6224254652,0.205207470209651,4.5531628894601,1.91818875987002,347.995139600591,0.907212108834631,-2519.1989381915,-0.0660361637715215,-0.027835824673744,-2.38952314173408,-0.00157503497899411,30.9558885539917,0.0363100588319016,0.0729538256083631,0.00104821173702611,-0.41058824017523,-0.000123754081237622,0.00219189732802925,1.072,-0.0157892740734698,0.800351398042451,-0.0113721724717479
"NLD",1943,"Netherlands",1.19019055318539,2.89992733023758,0.0900327294610189,104.578412283913,0.00220122327630241,0.0433610433822167,62.478,0.270801823535279,64.7616881387508,0.246522599070118,4.8754073160275,2.00765818285809,316.035801397322,0.827085062488476,-2313.20869088569,-0.0748193600162912,-0.0308334820731827,-2.15412492113233,-0.0010473387875301,29.5306142524515,-0.0320454178426901,-0.00989044169236575,0.000495536885455783,-0.952110846848726,0.0012564041972459,0.00306529288920994,-4.364,0.0536037974623982,-3.86073732644917,0.0413151288604672
"NLD",1948,"Netherlands",1.24226481779994,3.01900916561366,0.0934970254060496,106.128661024349,0.000713171350914721,0.0426641815843161,69.972,0.194658237127214,71.7935478028399,0.183672878009218,4.01102752555889,1.65483050382067,318.563613667316,0.926925629499699,-2720.89080425361,-0.0556447128750919,-0.0229677374403201,-2.07361266683424,-0.00149619840637058,32.4179306175225,0.0520742646145493,0.119081835376074,0.00346429594503077,1.55024874043596,-0.00148805192538769,-0.0006968617979006,7.49399999999999,-0.0761435864080649,7.03185966408908,-0.0628497210608999
"NLD",1953,"Netherlands",1.29512916253181,3.09993578838499,0.0960155621744722,105.813969463155,0.000425022357773943,0.0399705437506266,72.04,0.169741527801212,73.6848922200756,0.16457799665556,3.11632337298589,1.30496213338634,306.115816063625,0.95223090270015,-2827.74642347809,-0.0421478937870282,-0.0176557600295032,-1.96066746253,-0.00155625406020246,33.138281106066,0.052864344731872,0.0809266227713374,0.00251853676842251,-0.314691561194053,-0.000288148993140778,-0.00269363783368957,2.06800000000001,-0.0249167093260013,1.89134441723566,-0.0190948813536577
