Chile, Population size (abridged)	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1996          81             16644.52        10084.27        26728.79
  1996          82             15329.51         8892.88        24222.39
  1996          83             13640.41         7467.55        21107.96
  1996          84             11663.38         6505.24        18168.62
  1996          85             10309.88         5531.14        15841.02
  1996          86              8606.33         4401.60        13007.93
  1996          87              7294.99         3606.04        10901.03
  1996          88              6043.14         2947.86         8991.00
  1996          89              5221.42         2278.86         7500.28
  1996          90              4088.23         1706.44         5794.67
  1996          91              3157.29         1300.72         4458.01
  1996          92              2492.88          990.92         3483.80
  1996          93              1898.99          749.44         2648.43
  1996          94              1438.95          524.43         1963.38
  1996          95              1103.08          390.03         1493.11
  1996          96               737.76          256.79          994.55
  1996          97               482.33          150.79          633.12
  1996          98               344.20           93.93          438.13
  1996          99               234.28           61.03          295.31
  1996         100               147.97           43.24          191.21
  1996         101                86.07           23.69          109.76
  1996         102                49.28           17.90           67.18
  1996         103                40.47            9.45           49.92
  1996         104                23.79            6.67           30.46
  1996         105                14.91            6.34           21.25
  1996         106                10.21            3.33           13.54
  1996         107                 5.92            1.89            7.81
  1996         108                 4.54            1.11            5.65
  1996         109                 2.83            1.89            4.72
  1996         110+                3.46            1.00            4.46
  1997           0            127588.57       133761.67       261350.24
  1997           1            128348.98       133799.80       262148.78
  1997           2            131880.24       137163.76       269044.00
  1997           3            132639.07       138602.14       271241.21
  1997           4            135865.64       141315.02       277180.66
  1997           5            137783.01       143684.37       281467.38
  1997           6            137850.64       143931.03       281781.67
  1997           7            142087.05       147756.41       289843.46
  1997           8            142142.00       148023.60       290165.60
  1997           9            142388.52       148487.33       290875.85
  1997          10            130768.24       134521.24       265289.48
  1997          11            122292.61       126724.67       249017.28
  1997          12            119984.65       125214.75       245199.40
  1997          13            120572.40       125378.18       245950.58
  1997          14            125218.11       128196.18       253414.29
  1997          15            127208.99       130138.88       257347.87
  1997          16            120516.09       124930.16       245446.25
  1997          17            118574.63       121756.72       240331.35
  1997          18            115392.79       117300.96       232693.75
  1997          19            114201.14       116935.20       231136.34
  1997          20            113584.63       114673.47       228258.10
  1997          21            119021.29       119968.93       238990.22
  1997          22            124160.11       126310.32       250470.43
  1997          23            124330.60       126367.07       250697.67
  1997          24            122631.99       121304.74       243936.73
  1997          25            122309.59       120164.79       242474.38
  1997          26            119074.09       117674.14       236748.23
  1997          27            121354.96       119603.63       240958.59
  1997          28            121880.03       119524.50       241404.53
  1997          29            122212.63       118625.99       240838.62
  1997          30            123265.95       118389.56       241655.51
  1997          31            126716.10       121389.61       248105.71
  1997          32            127975.89       122629.56       250605.45
  1997          33            125426.50       121976.98       247403.48
  1997          34            124695.05       120072.29       244767.34
  1997          35            122676.44       116599.50       239275.94
  1997          36            115279.68       111137.08       226416.76
  1997          37            121828.13       116519.47       238347.60
  1997          38            109288.14       105413.85       214701.99
  1997          39            100791.44        96782.57       197574.01
  1997          40            100412.17        95150.59       195562.76
  1997          41             97016.77        91655.76       188672.53
  1997          42             94318.74        89245.36       183564.10
  1997          43             90371.59        86274.05       176645.64
  1997          44             84682.64        80568.03       165250.67
  1997          45             81654.87        76072.03       157726.90
  1997          46             77638.93        75669.87       153308.80
  1997          47             84667.66        80979.66       165647.32
  1997          48             73807.07        69615.12       143422.19
  1997          49             69489.41        64866.23       134355.64
  1997          50             66804.57        62194.67       128999.24
  1997          51             66966.81        64247.51       131214.32
  1997          52             65387.30        61871.24       127258.54
  1997          53             63145.60        59532.10       122677.70
  1997          54             60791.84        55883.80       116675.64
  1997          55             59733.63        53382.19       113115.82
  1997          56             54159.41        51370.06       105529.47
  1997          57             58086.68        53813.75       111900.43
  1997          58             50487.53        45493.03        95980.56
  1997          59             49965.79        44425.39        94391.18
  1997          60             49738.22        43468.36        93206.58
  1997          61             45146.81        40709.41        85856.22
  1997          62             43799.66        39171.71        82971.37
  1997          63             42367.29        37022.44        79389.73
  1997          64             42938.62        36335.04        79273.66
  1997          65             44846.76        36531.11        81377.87
  1997          66             41591.53        36545.70        78137.23
  1997          67             46413.85        38896.71        85310.56
  1997          68             41044.54        33523.23        74567.77
  1997          69             38854.00        32299.18        71153.18
